Linux 6.12.47+rpt-rpi-v8 (babypi) 	15/12/25 	_aarch64_	(4 CPU)

17:17:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:17:38     all    0.25    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   98.74
17:17:39     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
17:17:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:43     all    0.25    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   99.25
17:17:44     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:47     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:48     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:49     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:50     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:51     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:54     all    0.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.50
17:17:55     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:56     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:57     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:17:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:17:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:18:00     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:18:01     all    0.25    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   99.25
17:18:02     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:18:03     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:18:04     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
17:18:05     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:18:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:18:07     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
Average:     all    0.09    0.00    0.07    0.02    0.00    0.03    0.00    0.00    0.00   99.80
