Linux 6.12.47+rpt-rpi-v8 (babypi) 	15/12/25 	_aarch64_	(4 CPU)

17:27:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:27:11     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:12     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
17:27:13     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
17:27:14     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:15     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:16     all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
17:27:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:20     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:21     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:23     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:24     all    0.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.49
17:27:25     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:26     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:27     all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   99.75
17:27:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:29     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:30     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:31     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:33     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:34     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:36     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:37     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:27:39     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
17:27:40     all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
Average:     all    0.06    0.00    0.08    0.02    0.00    0.02    0.00    0.00    0.00   99.83
